card_id,card_name,card_brand,card_in_out,card_record,card_summary,card_image,card_section
47,Daily With(데일리위드)카드,IBK기업은행,"국내전용 10,000원 해외겸용 12,000원",전월실적50만원 이상,"6대생활영역1%기본캐시백
최다이용영역1%추가캐시백",https://api.card-gorilla.com:8080/storage/card/655/card_img/21418/655card.png,신용카드
48,알뜰교통카드,우리카드,"국내전용 13,000원 해외겸용 15,000원",전월실적30만원 이상,"대중교통10%할인
자동결제업종10%할인
페이코포인트1%적립",https://api.card-gorilla.com:8080/storage/card/583/card_img/29527/583card.png,신용카드
49,올바른 NEW HAVE카드,NH농협카드,"국내전용 12,000원 해외겸용 12,000원",전월실적없음,"국내외가맹점0.7%적립
이용금액 1위3배적립
공항라운지무료이용",https://api.card-gorilla.com:8080/storage/card/635/card_img/28872/635card.png,신용카드
50,Oil & Life카드(Oil카드),IBK기업은행,"해외겸용 5,000원",전월실적30만원 이상,"GS칼텍스(LPG포함)120원/L할인
CGV, 롯데시네마2,000원현장할인
주요 놀이공원50%할인",https://api.card-gorilla.com:8080/storage/card/258/card_img/20484/258card.png,신용카드
51,삼성 iD EV 카드,삼성카드,"국내전용 15,000원 해외겸용 15,000원",전월실적30만원 이상,"전기차 충전요금50%·70%할인
주차장·하이패스·대리운전10%할인
자동차보험3만원할인",https://api.card-gorilla.com:8080/storage/card/2289/card_img/27722/2289card.png,신용카드
52,트래블로그 신용카드,하나카드,"국내전용 20,000원 해외겸용 20,000원",전월실적없음,"국내외가맹점1%적립
해외 가맹점3%적립
항공/면세점/여행3%적립",https://api.card-gorilla.com:8080/storage/card/2529/card_img/29020/2529card.png,신용카드
53,始發(시발)카드,BC 바로카드,"국내전용 5,000원 해외겸용 8,000원",전월실적없음,"배달앱 최대1,800원할인
편의점 최대1,800원할인
실적/한도없이0.7%할인",https://api.card-gorilla.com:8080/storage/card/2418/card_img/28128/2418card.png,신용카드
54,#tag1카드 Navy,하나카드,"해외겸용 12,000원",전월실적40만원 이상,"아파트관리비5~10%할인
통신요금5~10%할인
주유소최대 60원/L할인",https://api.card-gorilla.com:8080/storage/card/248/card_img/20475/248card.png,신용카드
55,the Green Edition2,현대카드,"국내전용 150,000원 해외겸용 150,000원",전월실적50만원 이상,"바우처10만원제공
공항라운지무료이용
M포인트 최대2%적립",https://api.card-gorilla.com:8080/storage/card/2260/card_img/27660/2260card.png,신용카드
56,신한카드 플리(산리오캐릭터즈),신한카드,"국내전용 15,000원 해외겸용 18,000원",전월실적없음,"국내 이용금액최대 0.9%결제일 할인
해외 이용금액0.5%결제일 할인
매주 1회할인 쿠폰제공",https://api.card-gorilla.com:8080/storage/card/2491/card_img/28473/2491card.png,신용카드
57,청춘대로 톡톡카드,KB국민카드,"국내전용 10,000원 해외겸용 12,000원",전월실적30만원 이상,"스타벅스50%할인
버거/패스트푸드20%할인
간편결제Pay10%할인",https://api.card-gorilla.com:8080/storage/card/129/card_img/20358/129card.png,신용카드
58,카드의정석 PREMIUM MILEAGE(SKYPASS),우리카드,"국내전용 135,000원 해외겸용 135,000원",전월실적50만원 이상,"1,000원당1~2마일적립
국내외 공항라운지무료이용서비스
연1회프리미엄기프트제공",https://api.card-gorilla.com:8080/storage/card/92/card_img/20246/92card.png,신용카드
59,네이버페이 taptap,삼성카드,"국내전용 15,000원 해외겸용 15,000원",전월실적30만원 이상,"네이버페이10%적립
커피전문점5%적립
전가맹점0.5%적립",https://api.card-gorilla.com:8080/storage/card/458/card_img/28058/458card.png,신용카드
60,BeV V카드(포인트형),KB국민카드,"해외겸용 300,000원",전월실적50만원 이상,"포인트리1.2~3.0%적립
프리미엄쿠폰연 1회제공
해외 공항라운지무료이용서비스",https://api.card-gorilla.com:8080/storage/card/130/card_img/20359/130card.png,신용카드
61,삼성 iD NOMAD 카드,삼성카드,"국내전용 47,000원 해외겸용 49,000원",전월실적50만원 이상,"기프트서비스영역별 연 1회제공
국내외가맹점최대 2%적립
디지털콘텐츠/멤버십50%할인",https://api.card-gorilla.com:8080/storage/card/2459/card_img/28127/2459card.png,신용카드
62,FINETECH카드(대한항공),KB국민카드,"국내전용 20,000원 해외겸용 25,000원",전월실적없음,"국내이용1.2마일적립
해외이용2마일적립
게임/커피/영화3마일적립",https://api.card-gorilla.com:8080/storage/card/119/card_img/24263/119card.png,신용카드
63,알뜰교통 my pass 마패 신용카드(Hana-BC),하나카드,"해외겸용 17,000원",전월실적50만원 이상,"대중교통20%할인
편의점10%할인
커피10%할인",https://api.card-gorilla.com:8080/storage/card/745/card_img/27829/745card.png,신용카드
64,BC 바로 리워드 플러스,BC 바로카드,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,"영화/구독서비스30%적립
쇼핑5%적립
주유소/핸드폰요금5%적립",https://api.card-gorilla.com:8080/storage/card/2347/card_img/25291/2347card.png,신용카드
65,BLISS.5 카드(마일리지),IBK기업은행,"해외겸용 95,000원",전월실적30만원 이상,"1,500원당1마일적립
바우처 최대10만원제공
영화2천원할인",https://api.card-gorilla.com:8080/storage/card/772/card_img/22246/772card.png,신용카드
66,현대카드Z work,현대카드,"국내전용 10,000원 해외겸용 10,000원",전월실적40만원 이상,"커피전문점50%할인
편의점10%할인
온라인 간편결제10%할인",https://api.card-gorilla.com:8080/storage/card/731/card_img/22205/731card.png,신용카드
67,현대카드 M3 BOOST,현대카드,"국내전용 90,000원 해외겸용90,000원",전월실적50만원 이상,"업종별 최대6%적립
온라인 간편결제5%적립
해외가맹점5%적립",https://api.card-gorilla.com:8080/storage/card/703/card_img/22177/703card.png,신용카드
68,LOCA LIKIT Eat,롯데카드,"국내전용 10,000원 해외겸용 10,000원",전월실적40만원 이상,"음식점60%할인
배달앱60%할인
커피60%할인",https://api.card-gorilla.com:8080/storage/card/2262/card_img/20704/2262card.png,신용카드
69,신한카드 래플(Raffle),신한카드,"국내전용 17,000원 해외겸용 20,000원",전월실적50만원 이상,"월 마다 최대7만P추첨적립
분기 마다 최대30만P추첨적립",https://api.card-gorilla.com:8080/storage/card/2387/card_img/25536/2387card.png,신용카드
70,알뜰교통플러스 카드,KB국민카드,"국내전용 8,000원 해외겸용 8,000원",전월실적30만원 이상,"대중교통10%할인
생활서비스5%할인
KB Pay 이용 시5%추가할인",https://api.card-gorilla.com:8080/storage/card/2555/card_img/29620/2555card.png,신용카드
